Date,Position,Teams,Players
"CS:GO World ranking on February 27th, 2017",#3,SK(776 points),FalleN fer coldzera TACO felps
"CS:GO World ranking on February 27th, 2017",#4,North(470 points),cajunb MSL aizy Magisk k0nfig
"CS:GO World ranking on February 27th, 2017",#5,Natus Vincere(392 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on February 27th, 2017",#6,OpTic(325 points),Hiko RUSH mixwell NAF tarik
"CS:GO World ranking on February 27th, 2017",#7,Gambit(313 points),AdreN Zeus Dosia mou Hobbit
"CS:GO World ranking on February 27th, 2017",#8,NIP(288 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on February 27th, 2017",#9,FaZe(256 points),karrigan allu NiKo kioShiMa rain
"CS:GO World ranking on February 27th, 2017",#10,fnatic(216 points),olofmeister dennis flusha JW KRIMZ
"CS:GO World ranking on February 27th, 2017",#11,Cloud9(215 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on February 27th, 2017",#12,MOUZ(207 points),oskar chrisJ loWel Spiidi denis
"CS:GO World ranking on February 27th, 2017",#13,G2(161 points),shox kennyS NBK- apEX bodyy
"CS:GO World ranking on February 27th, 2017",#14,Kinguin(149 points),SZPERO rallen MICHU mouz Furlan
"CS:GO World ranking on February 27th, 2017",#15,Liquid(103 points),Pimp nitr0 jdm64 stanislaw EliGE
"CS:GO World ranking on February 27th, 2017",#16,FlipSid3(99 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on February 27th, 2017",#17,GODSENT(87 points),pronax znajder twist disco doplan Lekr0
"CS:GO World ranking on February 27th, 2017",#18,Heroic(86 points),MODDII Snappi JUGi valde niko
"CS:GO World ranking on February 27th, 2017",#19,Epsilon(78 points),BARBARR kalle draken freddieb REZ
"CS:GO World ranking on February 27th, 2017",#20,BIG(78 points),gob b LEGIJA tabseN keev nex
"CS:GO World ranking on February 27th, 2017",#21,Immortals(75 points),fnx steel HEN1 LUCAS1 boltz
"CS:GO World ranking on February 27th, 2017",#22,HellRaisers(67 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on February 27th, 2017",#23,Space Soldiers(64 points),MAJ3R XANTARES DESPE Calyx paz
"CS:GO World ranking on February 27th, 2017",#24,LDLC(60 points),Maniac Ex6TenZ to1nou ALEX mistou
"CS:GO World ranking on February 27th, 2017",#25,TYLOO(60 points),captainMo HZ DD Attacker somebody
"CS:GO World ranking on February 27th, 2017",#26,iGame.com(56 points),xseveN SAGGERTON juho sAw ZOREE
"CS:GO World ranking on February 27th, 2017",#27,Rogue(53 points),bubble TENZKI v1c7oR cadiaN
"CS:GO World ranking on February 27th, 2017",#28,Renegades(46 points),yam jks AZR USTILO atter
"CS:GO World ranking on February 27th, 2017",#29,Envy(42 points),SIXER RpK ScreaM Happy xms
"CS:GO World ranking on February 27th, 2017",#30,Misfits(42 points),seang@res ShahZaM Relyks SicK Twistzz
"CS:GO World ranking on January 30th, 2017",#1,Astralis(1000 points),Xyp9x dupreeh gla1ve device Kjaerbye
"CS:GO World ranking on January 30th, 2017",#2,Virtus.pro(705 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on January 30th, 2017",#3,SK(703 points),fox FalleN fer coldzera TACO
"CS:GO World ranking on January 30th, 2017",#4,OpTic(537 points),RUSH mixwell stanislaw NAF tarik
"CS:GO World ranking on January 30th, 2017",#5,FaZe(456 points),karrigan allu kioShiMa aizy rain
"CS:GO World ranking on January 30th, 2017",#6,North(410 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on January 30th, 2017",#7,NIP(396 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on January 30th, 2017",#8,fnatic(395 points),olofmeister dennis twist KRIMZ disco doplan
"CS:GO World ranking on January 30th, 2017",#9,Natus Vincere(371 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on January 30th, 2017",#10,Envy(355 points),SIXER kennyS NBK- apEX Happy
"CS:GO World ranking on January 30th, 2017",#11,Cloud9(269 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on January 30th, 2017",#12,Gambit(252 points),AdreN Zeus Dosia mou Hobbit
"CS:GO World ranking on January 30th, 2017",#13,G2(251 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on January 30th, 2017",#14,GODSENT(200 points),pronax flusha znajder JW Lekr0
"CS:GO World ranking on January 30th, 2017",#15,MOUZ(175 points),oskar NiKo loWel Spiidi denis
"CS:GO World ranking on January 30th, 2017",#16,Liquid(162 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on January 30th, 2017",#17,Kinguin(149 points),SZPERO rallen MICHU mouz Furlan
"CS:GO World ranking on January 30th, 2017",#18,Immortals(138 points),steel HEN1 LUCAS1 boltz felps
"CS:GO World ranking on January 30th, 2017",#19,FlipSid3(118 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on January 30th, 2017",#20,HellRaisers(115 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on January 30th, 2017",#21,Space Soldiers(103 points),MAJ3R XANTARES DESPE paz ngiN
"CS:GO World ranking on January 30th, 2017",#22,Heroic(100 points),Friis MODDII Snappi valde niko
"CS:GO World ranking on January 30th, 2017",#23,Epsilon(84 points),BARBARR kalle draken freddieb REZ
"CS:GO World ranking on January 30th, 2017",#24,Renegades(84 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on January 30th, 2017",#25,iGame.com(73 points),zehN xseveN SAGGERTON sAw ZOREE
"CS:GO World ranking on January 30th, 2017",#26,BIG(73 points),gob b LEGIJA tabseN keev nex
"CS:GO World ranking on January 30th, 2017",#27,LDLC(65 points),Ex6TenZ to1nou ALEX mistou xms
"CS:GO World ranking on January 30th, 2017",#28,TYLOO(60 points),captainMo DD somebody
"CS:GO World ranking on January 30th, 2017",#29,Vega Squadron(56 points),chopper jR keshandr mir hutji
"CS:GO World ranking on January 30th, 2017",#30,VG.CyberZen(55 points),Savage tb advent zhokiNg LOVEYY
"CS:GO World ranking on December 26th, 2016",#1,Astralis(953 points),Xyp9x dupreeh gla1ve device Kjaerbye
"CS:GO World ranking on December 26th, 2016",#2,SK(850 points),fox FalleN fer coldzera TACO
"CS:GO World ranking on December 26th, 2016",#3,OpTic(810 points),RUSH mixwell stanislaw NAF tarik
"CS:GO World ranking on December 26th, 2016",#4,NIP(656 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on December 26th, 2016",#5,Virtus.pro(624 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on December 26th, 2016",#6,Dignitas(567 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on December 26th, 2016",#7,FaZe(535 points),karrigan allu kioShiMa aizy rain
"CS:GO World ranking on December 26th, 2016",#8,Natus Vincere(487 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on December 26th, 2016",#9,Cloud9(431 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on December 26th, 2016",#10,G2(391 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on December 26th, 2016",#11,Envy(355 points),SIXER kennyS NBK- apEX Happy
"CS:GO World ranking on December 26th, 2016",#12,MOUZ(292 points),chrisJ NiKo loWel Spiidi denis
"CS:GO World ranking on December 26th, 2016",#13,Immortals(262 points),steel HEN1 LUCAS1 boltz felps
"CS:GO World ranking on December 26th, 2016",#14,Liquid(239 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on December 26th, 2016",#15,GODSENT(217 points),pronax flusha znajder JW Lekr0
"CS:GO World ranking on December 26th, 2016",#16,Gambit(207 points),AdreN Zeus Dosia mou Hobbit
"CS:GO World ranking on December 26th, 2016",#17,HellRaisers(164 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on December 26th, 2016",#18,fnatic(155 points),olofmeister dennis twist KRIMZ disco doplan
"CS:GO World ranking on December 26th, 2016",#19,Heroic(141 points),Friis MODDII Snappi valde niko
"CS:GO World ranking on December 26th, 2016",#20,Renegades(115 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on December 26th, 2016",#21,Kinguin(102 points),SZPERO rallen MICHU mouz Furlan
"CS:GO World ranking on December 26th, 2016",#22,TYLOO(99 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on December 26th, 2016",#23,FlipSid3(91 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on December 26th, 2016",#24,Epsilon(86 points),BARBARR kalle draken freddieb REZ
"CS:GO World ranking on December 26th, 2016",#25,Vega Squadron(70 points),chopper jR keshandr mir hutji
"CS:GO World ranking on December 26th, 2016",#26,VG.CyberZen(51 points),Savage tb advent zhokiNg LOVEYY
"CS:GO World ranking on December 26th, 2016",#27,CLG(45 points),reltuC hazed koosta Ethan Subroza
"CS:GO World ranking on December 26th, 2016",#28,LDLC(41 points),Ex6TenZ to1nou ALEX mistou xms
"CS:GO World ranking on December 26th, 2016",#29,fnatic Academy(41 points),jayzaR PlesseN Bååten Golden Karus
"CS:GO World ranking on December 26th, 2016",#30,iGame.com(39 points),zehN xseveN SAGGERTON sAw ZOREE
"CS:GO World ranking on November 28th, 2016",#1,SK(933 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on November 28th, 2016",#2,NIP(801 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on November 28th, 2016",#3,Virtus.pro(692 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on November 28th, 2016",#4,Dignitas(608 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on November 28th, 2016",#5,Cloud9(545 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on November 28th, 2016",#6,Natus Vincere(527 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on November 28th, 2016",#7,G2(453 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on November 28th, 2016",#8,Astralis(416 points),Xyp9x dupreeh gla1ve device Kjaerbye
"CS:GO World ranking on November 28th, 2016",#9,FaZe(416 points),karrigan allu kioShiMa aizy rain
"CS:GO World ranking on November 28th, 2016",#10,Envy(307 points),SIXER kennyS NBK- apEX Happy
"CS:GO World ranking on November 28th, 2016",#11,Immortals(278 points),steel HEN1 LUCAS1 boltz felps
"CS:GO World ranking on November 28th, 2016",#12,Liquid(275 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on November 28th, 2016",#13,OpTic(254 points),RUSH mixwell stanislaw NAF tarik
"CS:GO World ranking on November 28th, 2016",#14,MOUZ(243 points),chrisJ NiKo loWel Spiidi denis
"CS:GO World ranking on November 28th, 2016",#15,Gambit(232 points),AdreN Zeus Dosia mou Hobbit
"CS:GO World ranking on November 28th, 2016",#16,fnatic(210 points),olofmeister dennis twist KRIMZ disco doplan
"CS:GO World ranking on November 28th, 2016",#17,GODSENT(189 points),pronax flusha znajder JW Lekr0
"CS:GO World ranking on November 28th, 2016",#18,Heroic(173 points),Friis MODDII Snappi valde niko
"CS:GO World ranking on November 28th, 2016",#19,Renegades(157 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on November 28th, 2016",#20,Kinguin(131 points),SZPERO rallen MICHU mouz Furlan
"CS:GO World ranking on November 28th, 2016",#21,TYLOO(125 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on November 28th, 2016",#22,FlipSid3(120 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on November 28th, 2016",#23,HellRaisers(111 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on November 28th, 2016",#24,Epsilon(99 points),BARBARR kalle draken freddieb REZ
"CS:GO World ranking on November 28th, 2016",#25,VG.CyberZen(83 points),Savage tb advent zhokiNg LOVEYY
"CS:GO World ranking on November 28th, 2016",#26,LDLC(62 points),Ex6TenZ to1nou ALEX mistou xms
"CS:GO World ranking on November 28th, 2016",#27,ALTERNATE aTTaX(55 points),crisby kzy tiziaN syrsoN
"CS:GO World ranking on November 28th, 2016",#28,CLG(49 points),reltuC hazed koosta Ethan Subroza
"CS:GO World ranking on November 28th, 2016",#29,iGame.com(49 points),Twista xseveN SAGGERTON sAw ZOREE
"CS:GO World ranking on November 28th, 2016",#30,Space Soldiers(48 points),MAJ3R XANTARES DESPE paz ngiN
"CS:GO World ranking on October 24th, 2016",#1,Virtus.pro(939 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on October 24th, 2016",#2,Dignitas(778 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on October 24th, 2016",#3,SK(749 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on October 24th, 2016",#4,Natus Vincere(711 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on October 24th, 2016",#5,G2(463 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on October 24th, 2016",#6,NIP(450 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on October 24th, 2016",#7,Cloud9(379 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on October 24th, 2016",#8,Liquid(362 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on October 24th, 2016",#9,fnatic(330 points),olofmeister dennis wenton twist KRIMZ
"CS:GO World ranking on October 24th, 2016",#10,Envy(295 points),SIXER kennyS NBK- apEX Happy
"CS:GO World ranking on October 24th, 2016",#11,OpTic(235 points),RUSH mixwell stanislaw NAF tarik
"CS:GO World ranking on October 24th, 2016",#12,Astralis(220 points),Xyp9x dupreeh gla1ve device Kjaerbye
"CS:GO World ranking on October 24th, 2016",#13,Immortals(216 points),zews HEN1 LUCAS1 boltz felps
"CS:GO World ranking on October 24th, 2016",#14,MOUZ(180 points),chrisJ NiKo loWel Spiidi denis
"CS:GO World ranking on October 24th, 2016",#15,FaZe(169 points),karrigan allu aizy rain jkaem
"CS:GO World ranking on October 24th, 2016",#16,FlipSid3(130 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on October 24th, 2016",#17,HellRaisers(121 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on October 24th, 2016",#18,Heroic(114 points),Friis MODDII Snappi valde niko
"CS:GO World ranking on October 24th, 2016",#19,VG.CyberZen(91 points),Savage tb advent zhokiNg LOVEYY
"CS:GO World ranking on October 24th, 2016",#20,TYLOO(84 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on October 24th, 2016",#21,GODSENT(80 points),pronax flusha znajder JW Lekr0
"CS:GO World ranking on October 24th, 2016",#22,Kinguin(78 points),SZPERO rallen MICHU mouz Furlan
"CS:GO World ranking on October 24th, 2016",#23,Renegades(76 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on October 24th, 2016",#24,Gambit(70 points),AdreN Zeus Dosia mou Hobbit
"CS:GO World ranking on October 24th, 2016",#25,NRG(68 points),gob b LEGIJA tabseN FugLy ptr
"CS:GO World ranking on October 24th, 2016",#26,Epsilon(63 points),BARBARR draken disco doplan freddieb REZ
"CS:GO World ranking on October 24th, 2016",#27,Echo Fox(62 points),seang@res freakazoid ShahZaM roca ryx
"CS:GO World ranking on October 24th, 2016",#28,iGame.com(50 points),Twista xseveN SAGGERTON sAw ZOREE
"CS:GO World ranking on October 24th, 2016",#29,CLG(49 points),reltuC hazed koosta Ethan Subroza
"CS:GO World ranking on October 24th, 2016",#30,TSM(48 points),SEMPHIS FNS Relyks SicK Twistzz
"CS:GO World ranking on September 26th, 2016",#1,SK(854 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on September 26th, 2016",#2,Virtus.pro(679 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on September 26th, 2016",#3,G2(568 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on September 26th, 2016",#4,NIP(510 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on September 26th, 2016",#5,Cloud9(504 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on September 26th, 2016",#6,Dignitas(427 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on September 26th, 2016",#7,Envy(416 points),kennyS NBK- apEX Happy DEVIL
"CS:GO World ranking on September 26th, 2016",#8,Astralis(393 points),karrigan Xyp9x dupreeh device Kjaerbye
"CS:GO World ranking on September 26th, 2016",#9,GODSENT(344 points),pronax flusha znajder JW KRIMZ
"CS:GO World ranking on September 26th, 2016",#10,Natus Vincere(334 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on September 26th, 2016",#11,Heroic(273 points),Friis MODDII Snappi gla1ve valde
"CS:GO World ranking on September 26th, 2016",#12,Immortals(264 points),zews HEN1 LUCAS1 boltz felps
"CS:GO World ranking on September 26th, 2016",#13,Liquid(260 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on September 26th, 2016",#14,FaZe(227 points),allu kioShiMa aizy rain jkaem
"CS:GO World ranking on September 26th, 2016",#15,MOUZ(223 points),oskar chrisJ NiKo Spiidi denis
"CS:GO World ranking on September 26th, 2016",#16,FlipSid3(149 points),markeloff B1ad3 WorldEdit wayLander electronic
"CS:GO World ranking on September 26th, 2016",#17,OpTic(148 points),RUSH mixwell stanislaw NAF tarik
"CS:GO World ranking on September 26th, 2016",#18,Echo Fox(111 points),seang@res freakazoid ShahZaM roca ryx
"CS:GO World ranking on September 26th, 2016",#19,TYLOO(108 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on September 26th, 2016",#20,Gambit(107 points),kUcheR AdreN hooch Dosia mou
"CS:GO World ranking on September 26th, 2016",#21,VG.CyberZen(104 points),Savage tb advent zhokiNg LOVEYY
"CS:GO World ranking on September 26th, 2016",#22,HellRaisers(103 points),ANGE1 bondik STYKO Zero DeadFox
"CS:GO World ranking on September 26th, 2016",#23,Renegades(98 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on September 26th, 2016",#24,TSM(86 points),SEMPHIS FNS Relyks SicK Twistzz
"CS:GO World ranking on September 26th, 2016",#25,NRG(78 points),gob b LEGIJA tabseN FugLy ptr
"CS:GO World ranking on September 26th, 2016",#26,fnatic(72 points),olofmeister dennis wenton twist Lekr0
"CS:GO World ranking on September 26th, 2016",#27,Space Soldiers(69 points),TuGuX XANTARES DESPE paz ngiN
"CS:GO World ranking on September 26th, 2016",#28,Crowns(55 points),zape Krewmer Jayzwalkingz xajdish benny
"CS:GO World ranking on September 26th, 2016",#29,Epsilon(52 points),BARBARR draken disco doplan freddieb REZ
"CS:GO World ranking on September 26th, 2016",#30,PENTA(51 points),tahsiN loWel kRYSTAL mikeS stfN
"CS:GO World ranking on August 29th, 2016",#1,SK(933 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on August 29th, 2016",#2,Virtus.pro(752 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on August 29th, 2016",#3,GODSENT(423 points),pronax flusha znajder JW KRIMZ
"CS:GO World ranking on August 29th, 2016",#4,Natus Vincere(377 points),Edward GuardiaN seized flamie s1mple
"CS:GO World ranking on August 29th, 2016",#5,G2(373 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on August 29th, 2016",#6,Liquid(352 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on August 29th, 2016",#7,NIP(341 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on August 29th, 2016",#8,Astralis(334 points),karrigan Xyp9x dupreeh device Kjaerbye
"CS:GO World ranking on August 29th, 2016",#9,Envy(230 points),kennyS NBK- apEX Happy DEVIL
"CS:GO World ranking on August 29th, 2016",#10,MOUZ(221 points),oskar chrisJ NiKo Spiidi denis
"CS:GO World ranking on August 29th, 2016",#11,Gambit(200 points),AdreN hooch Dosia mou spaze
"CS:GO World ranking on August 29th, 2016",#12,Heroic(194 points),Friis MODDII Snappi gla1ve valde
"CS:GO World ranking on August 29th, 2016",#13,Cloud9(192 points),n0thing Skadoodle shroud autimatic Stewie2K
"CS:GO World ranking on August 29th, 2016",#14,FlipSid3(184 points),markeloff B1ad3 Shara WorldEdit wayLander
"CS:GO World ranking on August 29th, 2016",#15,Dignitas(171 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on August 29th, 2016",#16,FaZe(166 points),allu kioShiMa aizy rain jkaem
"CS:GO World ranking on August 29th, 2016",#17,Immortals(138 points),zews HEN1 LUCAS1 boltz felps
"CS:GO World ranking on August 29th, 2016",#18,MK(123 points),bubble spyleadeR nkl v1c7oR dream3r
"CS:GO World ranking on August 29th, 2016",#19,Space Soldiers(96 points),TuGuX XANTARES DESPE paz ngiN
"CS:GO World ranking on August 29th, 2016",#20,OpTic(96 points),RUSH mixwell NAF daps tarik
"CS:GO World ranking on August 29th, 2016",#21,TSM(86 points),SEMPHIS FNS Relyks SicK Twistzz
"CS:GO World ranking on August 29th, 2016",#22,Renegades(86 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on August 29th, 2016",#23,Epsilon(85 points),draken disco doplan freddieb REZ
"CS:GO World ranking on August 29th, 2016",#24,HellRaisers(85 points),ANGE1 bondik STYKO Zero smike
"CS:GO World ranking on August 29th, 2016",#25,TYLOO(83 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on August 29th, 2016",#26,Echo Fox(81 points),seang@res freakazoid ShahZaM roca ryx
"CS:GO World ranking on August 29th, 2016",#27,Spirit(75 points),tonyblack DavCost Dima S0tF1k COLDYY1
"CS:GO World ranking on August 29th, 2016",#28,Crowns(71 points),zape Krewmer Jayzwalkingz xajdish benny
"CS:GO World ranking on August 29th, 2016",#29,ENCE(64 points),naSu suNny xartE juho
"CS:GO World ranking on August 29th, 2016",#30,ALTERNATE aTTaX(56 points),crisby kzy tiziaN keev syrsoN
"CS:GO World ranking on July 26th, 2016",#1,SK(967 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on July 26th, 2016",#2,fnatic(641 points),olofmeister dennis flusha JW KRIMZ
"CS:GO World ranking on July 26th, 2016",#3,G2(547 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on July 26th, 2016",#4,Natus Vincere(458 points),Edward Zeus GuardiaN seized flamie
"CS:GO World ranking on July 26th, 2016",#5,Virtus.pro(428 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on July 26th, 2016",#6,NIP(338 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on July 26th, 2016",#7,Liquid(315 points),Hiko Pimp nitr0 jdm64 EliGE
"CS:GO World ranking on July 26th, 2016",#8,Astralis(301 points),karrigan Xyp9x dupreeh device Kjaerbye
"CS:GO World ranking on July 26th, 2016",#9,MOUZ(249 points),chrisJ NiKo nex Spiidi denis
"CS:GO World ranking on July 26th, 2016",#10,Envy(227 points),kennyS NBK- apEX Happy DEVIL
"CS:GO World ranking on July 26th, 2016",#11,FaZe(225 points),fox kioShiMa aizy rain jkaem
"CS:GO World ranking on July 26th, 2016",#12,FlipSid3(201 points),markeloff B1ad3 Shara WorldEdit wayLander
"CS:GO World ranking on July 26th, 2016",#13,Immortals(195 points),zews HEN1 LUCAS1 boltz felps
"CS:GO World ranking on July 26th, 2016",#14,Gambit(194 points),AdreN hooch Dosia mou spaze
"CS:GO World ranking on July 26th, 2016",#15,Cloud9(159 points),n0thing Skadoodle shroud Slemmy Stewie2K
"CS:GO World ranking on July 26th, 2016",#16,TSM(159 points),SEMPHIS FNS autimatic SicK Twistzz
"CS:GO World ranking on July 26th, 2016",#17,GODSENT(157 points),pronax znajder twist pauf Lekr0
"CS:GO World ranking on July 26th, 2016",#18,OpTic(134 points),RUSH mixwell stanislaw NAF daps
"CS:GO World ranking on July 26th, 2016",#19,Dignitas(127 points),RUBINO cajunb MSL Magisk k0nfig
"CS:GO World ranking on July 26th, 2016",#20,Epsilon(92 points),xelos draken disco doplan freddieb REZ
"CS:GO World ranking on July 26th, 2016",#21,TYLOO(83 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on July 26th, 2016",#22,HellRaisers(79 points),ANGE1 bondik STYKO Zero
"CS:GO World ranking on July 26th, 2016",#23,X(78 points),Friis MODDII Snappi gla1ve valde
"CS:GO World ranking on July 26th, 2016",#24,ENCE(58 points),naSu allu suNny xartE juho
"CS:GO World ranking on July 26th, 2016",#25,Renegades(58 points),yam jks AZR Rickeh USTILO
"CS:GO World ranking on July 26th, 2016",#26,Kinguin(53 points),SZPERO MINISE innocent MICHU mouz
"CS:GO World ranking on July 26th, 2016",#27,MK(52 points),bubble spyleadeR nkl v1c7oR dream3r
"CS:GO World ranking on July 26th, 2016",#28,Echo Fox(45 points),seang@res freakazoid ShahZaM roca ryx
"CS:GO World ranking on July 26th, 2016",#29,PENTA(34 points),Kairi tahsiN loWel kRYSTAL mikeS
"CS:GO World ranking on July 26th, 2016",#30,ALTERNATE aTTaX(31 points),crisby kzy tiziaN keev syrsoN
"CS:GO World ranking on June 27th, 2016",#1,Luminosity(1000 points),fnx FalleN fer coldzera TACO
"CS:GO World ranking on June 27th, 2016",#2,G2(613 points),shox RpK SmithZz ScreaM bodyy
"CS:GO World ranking on June 27th, 2016",#3,Natus Vincere(609 points),Edward Zeus GuardiaN seized flamie
"CS:GO World ranking on June 27th, 2016",#4,fnatic(566 points),olofmeister dennis flusha JW KRIMZ
"CS:GO World ranking on June 27th, 2016",#5,NIP(497 points),f0rest GeT_RiGhT Xizt friberg pyth
"CS:GO World ranking on June 27th, 2016",#6,Astralis(333 points),karrigan Xyp9x dupreeh device Kjaerbye
"CS:GO World ranking on June 27th, 2016",#7,Virtus.pro(285 points),TaZ NEO pashaBiceps Snax byali
"CS:GO World ranking on June 27th, 2016",#8,Immortals(276 points),HEN1 LUCAS1 boltz felps SHOOWTiME
"CS:GO World ranking on June 27th, 2016",#9,Envy(235 points),kennyS NBK- apEX Happy DEVIL
"CS:GO World ranking on June 27th, 2016",#10,Liquid(222 points),Hiko nitr0 s1mple jdm64 EliGE
"CS:GO World ranking on June 27th, 2016",#11,TSM(187 points),SEMPHIS FNS autimatic SicK Twistzz
"CS:GO World ranking on June 27th, 2016",#12,GODSENT(182 points),pronax znajder twist pauf Lekr0
"CS:GO World ranking on June 27th, 2016",#13,MOUZ(177 points),chrisJ NiKo nex Spiidi denis
"CS:GO World ranking on June 27th, 2016",#14,Cloud9(177 points),n0thing Skadoodle shroud Slemmy Stewie2K
"CS:GO World ranking on June 27th, 2016",#15,Dignitas(160 points),RUBINO cajunb TENZKI MSL k0nfig
"CS:GO World ranking on June 27th, 2016",#16,FaZe(160 points),fox kioShiMa aizy rain jkaem
"CS:GO World ranking on June 27th, 2016",#17,OpTic(148 points),RUSH mixwell stanislaw NAF daps
"CS:GO World ranking on June 27th, 2016",#18,HellRaisers(135 points),ANGE1 oskar bondik STYKO Zero
"CS:GO World ranking on June 27th, 2016",#19,TYLOO(106 points),captainMo DD Summer Attacker somebody
"CS:GO World ranking on June 27th, 2016",#20,Gambit(82 points),AdreN hooch Dosia mou spaze
"CS:GO World ranking on June 27th, 2016",#21,FlipSid3(76 points),markeloff B1ad3 Shara WorldEdit wayLander
"CS:GO World ranking on June 27th, 2016",#22,CLG(72 points),pita reltuC hazed tarik koosta
"CS:GO World ranking on June 27th, 2016",#23,Kinguin(71 points),SZPERO MINISE innocent MICHU mouz
"CS:GO World ranking on June 27th, 2016",#24,Orbit(67 points),bubble spyleadeR nkl v1c7oR dream3r
"CS:GO World ranking on June 27th, 2016",#25,Epsilon(60 points),xelos draken disco doplan freddieb REZ
"CS:GO World ranking on June 27th, 2016",#26,SK(58 points),Friis MODDII gla1ve valde Magisk
"CS:GO World ranking on June 27th, 2016",#27,ENCE(55 points),naSu allu suNny xartE juho
